"chr"	"id"	"rsid"	"description"	"level"
"chr2"	25314186	"rs2918630"	"Single_Nucleotides|eQTL|ADCY3, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Helas3"	"1f"
"chr3"	49453834	"rs6997"	"Single_Nucleotides|eQTL|USP4, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|Th2, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Th1, Chromatin_Structure|DNase-seq|Cmk, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Monocd14, Chromatin_Structure|DNase-seq|Hmveclly, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Hmvecdblneo, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Jurkat, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Hmvecdblad, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|SPI1"	"1f"
"chr3"	49454112	"rs9814873"	"Single_Nucleotides|eQTL|USP4, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|8988t"	"1f"
"chr3"	49455330	"rs11715915"	"Single_Nucleotides|eQTL|USP4, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Medullo"	"1f"
"chr6"	30081189	"rs2517597"	"Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Motifs|PWM|PPARG, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Gm06990, Chromatin_Structure|DNase-seq|Hepg2, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|EBF1, Protein_Binding|ChIP-seq|POU2F2, Protein_Binding|ChIP-seq|POU2F2, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|NFKB1"	"1d"
"chr6"	30081246	"rs2523986"	"Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Gm06990, Chromatin_Structure|DNase-seq|Hepg2"	"1f"
"chr6"	30777498	"rs1264361"	"Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Protein_Binding|ChIP-seq|TBP"	"1f"
"chr6"	30782002	"rs886424"	"Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|NA, Single_Nucleotides|eQTL|BTN3A2, Single_Nucleotides|eQTL|HLA-A, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-DQA1, Single_Nucleotides|eQTL|HLA-DQB1, Single_Nucleotides|eQTL|HLA-DRB1, Single_Nucleotides|eQTL|HLA-G, Single_Nucleotides|eQTL|HLA-H, Single_Nucleotides|eQTL|VARSL, Single_Nucleotides|eQTL|ZFP57, Motifs|Footprinting|RXR::RAR_DR5, Motifs|Footprinting|AREB6, Motifs|Footprinting|AREB6, Motifs|PWM|AREB6, Motifs|Footprinting|AREB6, Motifs|Footprinting|AREB6, Motifs|PWM|AREB6, Motifs|PWM|RXR::RAR_DR5, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Huvec, Chromatin_Structure|DNase-seq|Hct116, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Progfib, Protein_Binding|ChIP-seq|POLR2A"	"1b"
"chr6"	32050758	"rs1150754"	"Single_Nucleotides|eQTL|HLA-DMA, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Panc1, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|FAIRE|Nhek, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Osteobl, Protein_Binding|ChIP-seq|SMARCC1"	"1f"
"chr6"	32096001	"rs3130288"	"Single_Nucleotides|eQTL|HLA-DQA1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|PWM|Sp1, Motifs|PWM|Sp1, Motifs|PWM|SP4, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|PWM|RREB1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|SP1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|PWM|Sp1, Motifs|PWM|SP1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|PWM|CAC-bindingprotein, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|PWM|RREB-1, Motifs|PWM|ZNF219, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|PWM|Zfp281, Motifs|PWM|Zfp740, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP4, Motifs|PWM|Zfp281, Motifs|Footprinting|Sp1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB1, Motifs|Footprinting|RREB-1, Motifs|Footprinting|ZNF219, Motifs|Footprinting|RREB1, Motifs|PWM|Zfp281, Motifs|PWM|Zfp281, Motifs|PWM|Zfp740, Motifs|PWM|Zfp740, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|SP1, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Motifs|Footprinting|CAC-bindingprotein, Motifs|Footprinting|Sp1, Motifs|Footprinting|SP1, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|FAIRE|Huvec, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|K562, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|FAIRE|Htr8, Chromatin_Structure|FAIRE|Gm12878, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Sknmc, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|CHD2, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|SREBF1, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|CHD2, Protein_Binding|ChIP-seq|MYC, Protein_Binding|ChIP-seq|NFKB1, Protein_Binding|ChIP-seq|IRF3, Protein_Binding|ChIP-seq|NFYB, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|GABPA, Protein_Binding|ChIP-seq|NFYA, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|USF2, Protein_Binding|ChIP-seq|RFX5, Protein_Binding|ChIP-seq|USF1, Protein_Binding|ChIP-seq|FOS, Protein_Binding|ChIP-seq|USF1, Protein_Binding|ChIP-seq|USF1, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|EGR1, Protein_Binding|ChIP-seq|ZNF263, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|SMARCB1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|SIN3A, Protein_Binding|ChIP-seq|TBP, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|SIN3A, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|MAFF, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|MAFK, Protein_Binding|ChIP-seq|TBP, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|MAFK, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|YY1, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A"	"1b"
