SNP	SNP_Chromosome	SNP_Locus	Gene_Name	Gene_Chromosome	Gene_Start	Gene_End	Tissue	p-value	Adj_p-value	Effect_Size	Cell_Lines	Cell_Lines_HiC_scores	HiC_Contact_Score	GTEx_cis_p_Threshold	cis_SNP-gene_interaction	SNP-gene_Distance	Expression_Level_In_eQTL_Tissue	Max_Expressed_Tissue	Maximum_Expression_Level	Min_Expressed_Tissue	Min_Expression_Level
rs10876864	12	56401085	SUOX	12	56390964	56400425	Adipose_Subcutaneous	1.79028e-08	3.017900571428572e-08	0.183482	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7	1.67, 3.33, 3.43, 2.40	10.8286	NA	True	660
rs61763101	6	35996413	SLC26A8	6	35911291	35992645	Adipose_Subcutaneous	1.34495e-26	5.203413114754098e-26	1.489747	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	2.67, 4.00, 3.71, 1.60, 4.00	15.9810	NA	True	3768
rs3761959	1	157669278	FCRL3	1	157644111	157670647	Adipose_Subcutaneous	4.3528e-10	8.351713821138211e-10	0.812073	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	5.67, 8.00, 7.43, 5.60, 16.00	42.6952	NA	True	0
rs1131017	12	56435929	RPS26	12	56435637	56438116	Adipose_Subcutaneous	3.108989999999999e-163	1.2228693999999996e-161	-2.061372	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	2.33, 1.33, 1.71, 1.60, 2.00	8.9810	NA	True	0
rs313839	19	47221557	PRKD2	19	47177532	47220384	Adipose_Subcutaneous	3.08475e-09	5.6875078125e-09	0.173357	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	7.67, 16.00, 11.43, 11.60, 12.00	58.6952	NA	True	1173
rs389884	6	31940897	C4A	6	31949801	31970458	Adipose_Subcutaneous	2.29304e-26	8.728345806451614e-26	-4.89588	NA	NA	NA	HMEC, IMR90, KBM7	0.33, 0.29, 0.40	1.0190	NA	True	8904
rs2918630	2	25314186	EFR3B	2	25264999	25378243	Adipose_Visceral_Omentum	5.28073e-05	6.262574271356784e-05	0.270383	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	6.67, 26.67, 26.00, 23.60, 38.00	120.9333	NA	True	0
rs1131017	12	56435929	RPS26	12	56435637	56438116	Adipose_Visceral_Omentum	4.692229999999999e-124	1.0066966181818178e-122	-2.062779	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	2.33, 1.33, 1.71, 1.60, 2.00	8.9810	NA	True	0
rs2210913	1	157668993	FCRL3	1	157644111	157670647	Adipose_Visceral_Omentum	2.42894e-07	3.628036962025316e-07	0.847515	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	3.67, 6.67, 6.29, 5.60, 10.00	32.2190	NA	True	0
rs147404416	6	36002540	SLC26A8	6	35911291	35992645	Adipose_Visceral_Omentum	1.23677e-12	2.8065165384615386e-12	1.26682	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	1.67, 7.33, 5.14, 2.40, 4.00	20.5429	NA	True	9895
rs62034350	16	28562256	SH2B1	16	28857921	28885526	Adipose_Visceral_Omentum	6.72651e-09	1.1672473235294118e-08	-0.127389	NA	NA	NA	IMR90, KBM7	0.29, 0.40	0.6857	NA	True	295665
rs839652	2	25334340	EFR3B	2	25264999	25378243	Adrenal_Gland	1.59802e-07	2.4489137662337663e-07	-0.835822	NA	NA	NA	HMEC, HUVEC, IMR90, KBM7, NHEK	8.00, 13.33, 16.86, 6.80, 6.00	50.9905	NA	True	0
